Course_Module,Level_Required,XP_Points_Earned,Course
"L41: Trie String Search Engines with Complete Character Pointer Vector Matrix Routing",Level 8,85,DSA_LeetCode
"L42: Graph Adjacency Matrix vs Dynamic Adjacency List Space Complexity Calculations",Level 9,65,DSA_LeetCode
"L43: Depth-First Search (DFS) Component Mapping & Topological Sort Path Traversals",Level 9,75,DSA_LeetCode
"L44: Breadth-First Search (BFS) Graph Exploration for Shortest Traversal Distance Measures",Level 9,75,DSA_LeetCode
"L45: Kruskal’s Minimum Spanning Tree (MST) Algorithm using Disjoint Set Union Optimizations",Level 10,90,DSA_LeetCode
"L46: Prim’s Dense Graph Minimum Spanning Tree via Priority Queue Binary Heaps",Level 10,90,DSA_LeetCode
"L47: Dijkstra’s Single-Source Shortest Path Algorithm on Positive Weight Metrics",Level 10,100,DSA_LeetCode
"L48: Bellman-Ford Negative Weight Cycle Inversion Identifiers & Edge Relaxation Arrays",Level 10,105,DSA_LeetCode
"L49: Floyd-Warshall All-Pairs Shortest Path Dynamic Programming Matrix Solutions",Level 10,110,DSA_LeetCode
"L50: Kosaraju’s Two-Pass DFS Algorithm for Strongly Connected Component Detection",Level 10,115,DSA_LeetCode
"L51: Tarjan’s Low-Link Matrix Tracking for Graph Articulation Points & Bridges",Level 10,120,DSA_LeetCode
"L52: Backtracking Enumeration Blueprints: State-Space Search Trees & Constraint Pruning",Level 11,95,DSA_LeetCode
"L53: Combinatorial Backtracking Formulations (LeetCode N-Queens & Sudoku Solvers)",Level 11,110,DSA_LeetCode
"L54: Dynamic Programming: Top-Down Memoization vs Bottom-Up Tabulation Matrix Principles",Level 12,110,DSA_LeetCode
"L55: 0/1 Knapsack & Multidimensional Grid State Optimization Architectures",Level 12,125,DSA_LeetCode
"L56: Longest Common Subsequence (LCS) & Edit Distance Sequence Alignment Solvers",Level 12,130,DSA_LeetCode
"L57: Advanced Dynamic Programming Bitmasking Over High-Dimensional Subsets",Level 12,145,DSA_LeetCode
"L58: Streamed Data Processing Optimization Engines (LeetCode Online Algorithms)",Level 12,115,DSA_LeetCode
"CAT: Mid-Term Algorithmic Complexity & Core Linear Data Structure Implementation Marathon",Level 6,500,DSA_LeetCode
"DA: Complete Production Feature Engineering Graph Topology Construction & Shortest Path Pipeline",Level 12,800,DSA_LeetCode
"L01: State-Space Modeling, Graph Formulations & Combinatorial Explosion Mathematical Tracking Scripts",Level 1,30,AI_Agents
"L02: Turing Machine Approximations & Functional Computability Bound Analysis in Python",Level 1,35,AI_Agents
"L03: PEAS Framework Matrix Definitions: Performance, Environment, Actuators, and Sensor Vector Mapping",Level 2,40,AI_Agents
"L04: Environmental Matrix Properties: Markovian Fully-Observable vs Partially-Observable State Traversals",Level 2,45,AI_Agents
"L05: Stochastic, Static vs Dynamic, and Continuous Environmental Simulation Environments",Level 2,45,AI_Agents
"L06: Production Architecture for Object-Oriented Simple Reflex Agents with Condition-Action Rules",Level 2,50,AI_Agents
"L07: Model-Based Reflex Agents utilizing Internal State Tracking and History Buffers",Level 3,50,AI_Agents
"L08: Goal-Based Autonomous Search Agents with Predictive Multi-Step Action Planning",Level 3,55,AI_Agents
"L09: Utility-Based Optimization Agents implementing Real-Valued Scalar Tradeoff Functions",Level 3,60,AI_Agents
"L10: Actor-Critic Style Learning Agents with Performance Standards and Exploration Generators",Level 3,65,AI_Agents
"L11: Uninformed Tree Exploration: FIFO Queue Breadth-First Search (BFS) Memory-Bound Pipeline",Level 4,50,AI_Agents
"L12: Uninformed Graph Exploration: LIFO Stack Depth-First Search (DFS) Cycle-Proofing Engines",Level 4,55,AI_Agents
"L13: Depth-Limited Search (DLS) Implementation with Explicit Boundary Failure Exception Traps",Level 4,55,AI_Agents
"L14: Iterative Deepening Depth-First Search (IDS) Combining Space and Time Efficiencies",Level 4,60,AI_Agents
"L15: Uniform Cost Search (UCS) Priority Queue Algorithms for Optimal Edge-Weighted Shortest Paths",Level 4,65,AI_Agents
"L16: Simultaneous Front-and-Back Ingestion: Bidirectional Graph Traversal Optimization Frameworks",Level 4,70,AI_Agents
"L17: Best-First Search Mechanics utilizing Evaluative Domain Heuristic Arrays",Level 5,60,AI_Agents
"L18: A* Search Implementation evaluating f(n) = g(n) + h(n) Vector Coordinates",Level 5,75,AI_Agents
"L19: Mathematical Consistency and Admissibility Validation Proofs for Heuristic Functions",Level 5,80,AI_Agents
"L20: Iterative Deepening A* (IDA*) and Memory-Bounded Heuristic Search (SMA*) Implementations",Level 5,85,AI_Agents
"L21: Two-Player Zero-Sum Game Tree Formulations and Recursive Minimax Search Engines",Level 6,65,AI_Agents
"L22: Alpha-Beta Pruning Edge Truncations for Multi-Step Minimax State Spaces",Level 6,80,AI_Agents
"L23: Dynamic Evaluation Cutoff Approximations and Horizon Effect Mitigations in Game Trees",Level 6,75,AI_Agents
"L24: Constraint Satisfaction Problems (CSP): Backtracking Search with MRV and Degree Heuristics",Level 6,85,AI_Agents
"L25: Forward Checking and AC-3 Arc Consistency Network Pruning Optimization Algorithms",Level 6,90,AI_Agents
"L26: Cryptarithmetic Solver Construction via Graph-Based Constraint Dependency Injectors",Level 6,95,AI_Agents
"L27: Propositional Logic Inferences: Automatic Truth Table Generators & SAT Solvers",Level 7,70,AI_Agents
"L28: Logical Forward and Backward Chaining Inference Engines for Production Rule Verification",Level 7,80,AI_Agents
"L29: Proof by Contradiction: Automated Propositional Resolution and Conjunctive Normal Form (CNF) Converters",Level 7,85,AI_Agents
"L30: Object-Oriented Semantic Networks and Frame Taxonomy Structures with Inheritance Resolution",Level 7,75,AI_Agents
"L31: First-Order Logic (FOL) Syntax Compilers with Universal and Existential Quantifier Handlers",Level 8,85,AI_Agents
"L32: Generalized Modus Ponens Inferences & Syntactic Substitution Mappings inside Knowledge Bases",Level 8,90,AI_Agents
"L33: First-Order Logic Robinson Unification Algorithm Development for Literal String Matrices",Level 8,105,AI_Agents
"L34: First-Order Resolution Pipelines via Lifted Skolemination and Horn Clause Reductions",Level 8,115,AI_Agents
"L35: Joint Probability Distribution Factorization via Directed Acyclic Graphs (Bayesian Networks)",Level 9,90,AI_Agents
"L36: Exact Inference in Bayesian Networks via Enumeration and Variable Elimination Calculations",Level 9,105,AI_Agents
"L37: Approximate Inference Loops in Complex Belief Spaces using Gibbs and Metropolis-Hastings MCMC Sampling",Level 9,120,AI_Agents
"L38: Vectorized Multinomial Naive Bayes Classifier from Scratch using Pure NumPy Log-Likelihood Arrays",Level 9,85,AI_Agents
"L39: Biological Neuron Abstractions and Mathematical Properties of Continuous Activation Gradients",Level 10,50,AI_Agents
"L40: Analytical Calculus Derivations of Sigmoid, Hyperbolic Tangent, ReLU, and Softmax Derivatives",Level 10,65,AI_Agents
"L41: Single-Layer Perceptron Binary Classification Learning Rule Convergence Vector Proofs",Level 10,75,AI_Agents
"L42: Multi-Layer Perceptron (MLP) Forward Propagation Matrix Multiplication Mechanics",Level 11,80,AI_Agents
"L43: Vectorized Backpropagation Calculus Engine: Chain Rule Kronecker Product Derivations from First Principles",Level 11,130,AI_Agents
"L44: Stochastic Gradient Descent (SGD) with Momentum and Adam Optimization Weight Updates",Level 11,95,AI_Agents
"L45: Deep Feed-Forward Layer Topologies: Vanishing/Exploding Gradient Diagnostics & Xavier/He Initializations",Level 11,100,AI_Agents
"L46: Energy-Based Probabilistic Architectures: Restricted Boltzmann Machine (RBM) Matrix Layers",Level 12,120,AI_Agents
"L47: Contrastive Divergence (CD-k) MCMC Sampling Implementations for RBM Feature Extraction",Level 12,135,AI_Agents
"L48: Rule-Based Expert System Shell Development with Conflicting Rule Resolution Matrices",Level 12,80,AI_Agents
"CAT: Mid-Term Adversarial Search, Logic Solvers & State Optimization Assessment",Level 6,500,AI_Agents
"DA: Custom Vectorized Neural Network & Backpropagation Calculus Execution Production Pipeline",Level 12,800,AI_Agents
"L01: Three-Tier Data Warehousing Architectures & OLAP Cube Multi-Dimensional Slice/Dice Vectorization",Level 1,30,Data_Mining_Forecasting
"L02: Supervised vs Unsupervised Generalization Bounds & Structural Risk Minimization Principles",Level 1,35,Data_Mining_Forecasting
"L03: Equi-Width vs Equi-Frequency Histogram Binning Algebra & Data Smoothing Pipelines",Level 1,40,Data_Mining_Forecasting
"L04: Vectorized Chi-Square Test of Independence Contingency Matrix Scaling",Level 2,45,Data_Mining_Forecasting
"L05: Data Warehousing Schema Layouts: Star, Snowflake, and Fact Constellation NumPy Emulations",Level 2,45,Data_Mining_Forecasting
"L06: Nominal, Ordinal, Interval, and Ratio Attribute Distance-Metric Formulations",Level 2,50,Data_Mining_Forecasting
