English,Tamil
Ample,ஏராளமான
Amuse,மகிழ்வி
Amusement,பொழுதுபோக்கு
Analysis,பகுப்பாய்வு
Analyst,பகுப்பாய்வாளர்
Analyze,பகுப்பாய்வு செய்
Ancestor,முன்னோர்
Anchor,நங்கூரம்
Ancient,பழமையான
Angel,தேவதை
Anger,கோபம்
Angle,கோணம்
Animal,விலங்கு
Animate,உயிரூட்டு
Animation,அசைவூட்டம்
Ankle,கணுக்கால்
Anniversary,ஆண்டுவிழா
Announce,அறிவி
Announcement,அறிவிப்பு
Annual,வருடாந்திர
Anonymous,பெயரில்லா
Answer,பதில்
Ant,எறும்பு
Antarctica,அண்டார்டிகா
Antenna,ஆண்டெனா
Anthem,கீதம்
Antibiotic,நுண்ணுயிர் எதிர்ப்பு மருந்து
Anticipate,எதிர்பார்
Antique,பழமையான பொருள்
Anxiety,பதட்டம்
Anxious,கவலையுள்ள
Any,ஏதேனும்
Anybody,யாராவது
Anyone,யாரும்
Anything,எதுவும்
Anywhere,எங்கும்
Apart,தனியாக
Apartment,அடுக்குமாடி வீடு
Apology,மன்னிப்பு
Apparatus,கருவி
Apparel,ஆடை
Apparent,வெளிப்படையான
Appeal,மேல்முறையீடு
Appear,தோன்று
Appearance,தோற்றம்
Appendix,பின்னிணைப்பு
Appetite,பசி
Applaud,கைத்தட்டு
Applause,கைத்தட்டு
Apple,ஆப்பிள்
Applicant,விண்ணப்பதாரர்
Application,விண்ணப்பம்
Apply,விண்ணப்பி
Appoint,நியமி
Appointment,சந்திப்பு
Appreciate,பாராட்டு
Appreciation,பாராட்டு
Approach,அணுகுமுறை
Appropriate,பொருத்தமான
Approval,ஒப்புதல்
Approve,அனுமதி
Approximate,தோராயமான
April,ஏப்ரல்
Architect,கட்டிடக் கலைஞர்
Architecture,கட்டிடக்கலை
Archive,காப்பகம்
Area,பகுதி
Arena,அரங்கம்
Argue,வாதிடு
Argument,வாதம்
Arise,எழு
Arm,கை
Army,இராணுவம்
Around,சுற்றிலும்
Arrange,ஒழுங்குபடுத்து
Arrangement,ஏற்பாடு
Arrest,கைது
Arrival,வருகை
Arrive,வந்து சேர்
Arrow,அம்பு
Art,கலை
Article,கட்டுரை
Artificial,செயற்கையான
Artist,கலைஞர்
Artwork,கலைப்பணி
Ascend,மேலேறு
Ash,சாம்பல்
Asia,ஆசியா
Aside,ஒருபுறம்
Ask,கேள்
Asleep,தூங்கும்
Aspect,அம்சம்
Aspire,விரும்பு
Assault,தாக்குதல்
Assemble,ஒன்றுசேர்
Assembly,சட்டமன்றம்
Assert,உறுதியாக கூறு
Assess,மதிப்பிடு
Assessment,மதிப்பீடு
Asset,சொத்து
Assign,ஒதுக்கு
Assignment,ஒப்படைப்பு
Assist,உதவி செய்
Assistance,உதவி
Assistant,உதவியாளர்
Associate,இணை
Association,சங்கம்
Assume,கருது
Assumption,கருதுகோள்
Assure,உறுதியளி
Astonish,ஆச்சரியப்படுத்து
Astronaut,விண்வெளி வீரர்
Astronomy,வானியல்
Athlete,விளையாட்டு வீரர்
Athletic,விளையாட்டு சார்ந்த
Atmosphere,வளிமண்டலம்
Atom,அணு
Attach,இணை
Attachment,இணைப்பு
Attack,தாக்குதல்
Attempt,முயற்சி
Attend,கலந்துகொள்
Attendance,வருகை
Attention,கவனம்
Attitude,மனப்பான்மை
Attorney,வழக்கறிஞர்
Attract,ஈர்த்து
Attraction,ஈர்ப்பு
Attractive,கவர்ச்சியான
Attribute,பண்பு
Auction,ஏலம்
Audience,பார்வையாளர்கள்
Audio,ஒலி
Audit,தணிக்கை
Auditor,தணிக்கையாளர்
Author,ஆசிரியர்
Authority,அதிகாரம்
Authorize,அங்கீகரி
Auto,தானியங்கி
Automatic,தானியங்கி
Automation,தானியக்கம்
Automobile,மோட்டார் வாகனம்
Autonomy,சுயாட்சி
Autumn,இலையுதிர் காலம்
Available,கிடைக்கக்கூடிய
Availability,கிடைக்கும் தன்மை
Average,சராசரி
Avoid,தவிர்
Await,காத்திரு
Awake,விழித்திரு
Award,விருது
Aware,விழிப்புணர்வு உள்ள
Awareness,விழிப்புணர்வு
Away,தொலைவில்
Awesome,அற்புதமான
Awful,மிக மோசமான
Axis,அச்சு
Azure,நீல வான நிறம்
Here is the continuation of the English-to-Tamil dictionary, maintaining the same format:
B,பி
Baby,குழந்தை
Bachelor,இளங்கலை / பிரம்மச்சாரி
Back,முதுகு / பின்னால்
Backbone,முதுகெலும்பு
Background,பின்னணி
Backpack,முதுகுப்பை
Backwards,பின்தோக்கி
Bacon,பன்றி இறைச்சி
Bacteria,பாக்டீரியா
Bad,மோசமான
Badge,அடையாளச் சின்னம்
Badly,மோசமாக
Badminton,பேட்மிண்டன்
Bag,பை
Baggage,பயணப்பொதி
Bail,பிணை
Bait,எரை
Bake,சுடு
Baker,ரொட்டி செய்பவர்
Bakery,ரொட்டி சுடும் இடம்
Balance,சமநிலை
Balanced,சீரான
Balcony,மாடம்
Bald,வழுக்கை
Ball,பந்து
Ballet,பாலே நடனம்
Balloon,பலூன்
Ballot,வாக்குச்சீட்டு
Bamboo,மூங்கில்
Ban,தடை
Banana,வாழைப்பழம்
Band,இசைக்குழு / பட்டை
Bandage,கட்டுப்போடும் துணி
Bang,பலத்த சத்தம்
Bank,வங்கி / கரை
Banker,வங்கியாளர்
Banking,வங்கியியல்
Bankruptcy,வாங்கி திவால்
Banner,பேனர் / கொடி
Banquet,விருந்து
Bar,பார் / தண்டு
Barbarian,காட்டுமிராண்டி
Barber,நாவிதர்
Bare,வெற்று
Barely,அரிதாக
Bargain,பேரம்
Bark,குரை / மரப்பட்டை
Barley,பார்லி
Barn,களஞ்சியம்
Barometer,காற்றழுத்தமானி
Baron,நிலப்பிரபு
Barrel,பீப்பாய்
Barricade,தடுப்பு
Barrier,தடை
Base,அடிப்படை
Baseball,பேஸ்பால்
Basement,தரைத்தளம்
Basic,அடிப்படையான
Basically,அடிப்படையில்
Basin,கிண்ணம் / வடிநிலம்
Basis,அடிப்படை
Basket,கூடை
Basketball,கூடைப்பந்து
Bat,வௌவால் / மட்டை
Batch,தொகுதி
Bath,குளியல்
Breathe,மூச்சு விடு
Bathing,குளித்தல்
Bathroom,குளியலறை
Bathtub,குளியல் தொட்டி
Battery,பேட்டரி
Battle,போர்
Battlefield,போர்க்களம்
Bay,வளைகுடா
Beach,கடற்கரை
Beacon,எச்சரிக்கை ஒளி
Bead,மணி
Beak,பறவையின் அலகு
Beam,கற்றை / விட்டப் பலகை
Bean,அவரைக்காய்
Bear,கரடி / தாங்கு
Beard,தாடி
Bearer,தாங்குபவர்
Beast,மிருகம்
Beat,அடி / துடிப்பு
Beautiful,அழகான
Beauty,அழகு
Beaver,நீர்நாய்
Because,ஏனென்றால்
Become,ஆகு
Bed,படுக்கை
Bedding,படுக்கை விரிப்பு
Bedroom,படுக்கையறை
Bee,தேனீ
Beef,மாட்டு இறைச்சி
Beehive,தேன்கூடு
Beer,பீர்
Beetle,வண்டு
Before,முன்னர்
Beg,பிச்சை கேள் / கெஞ்சு
Beggar,பிச்சைக்காரர்
Begin,தொடங்கு
Beginner,தொடக்கநிலையாளர்
Beginning,தொடக்கத்தில்
Behalf,சார்பாக
Behave,நடந்துகொள்
Behavior,நடத்தை
Behind,பின்னால்
Being,உயிர் / இருப்பு
Belief,நம்பிக்கை
Believe,நம்பு
Bell,மணி
Belly,வயிறு
Belong,சேர்ந்தது
Beloved,அன்பிற்குரிய
Below,கீழே
Belt,வாளி / கச்சை
Bench,பெஞ்ச்
Bend,வளை
Beneath,அடியில்
Beneficial,நன்மை பயக்கும்
Beneficiary,பயனாளி
Benefit,நன்மை
Benevolence,இரக்கம்
Benevolent,கருணையுள்ள
Berry,செர்ரி போன்ற சிறு பழம்
Beside,அருகில்
Besides,தவிர
Best,மிகச்சிறந்த
Bestow,வழங்கு
Bet,பந்தயம்
Betray,துரோகம் செய்
Betrayal,துரோகம்
Better,சிறந்த
Between,இடையில்
Beverage,பானம்
Beware,எச்சரிக்கையாக இரு
Beyond,அப்பால்
Bias,சார்புநிலை
Biased,சார்புடைய
Bible,பைபிள்
Biblical,பைபிள் சார்ந்த
Bicycle,மிதிவண்டி
Bid,ஏலத்தொகை / முயற்சி
Bidder,ஏலம் கேட்பவர்
Big,பெரிய
Bile,பித்தம்
Bilingual,இருமொழி
Bill,கட்டணப் பட்டியல்
Billion,பில்லியன்
Bin,குப்பைத்தொட்டி
Bind,பிணை
Binder,கோப்புப் பிணைப்பான்
Binding,கட்டுப்பாடு
Biographer,வாழ்க்கை வரலாறு எழுதுபவர்
Biography,வாழ்க்கை வரலாறு
Biological,உயிரியல் சார்ந்த
Biology,உயிரியல்
Birch,பிர்ச் மரம்
Bird,பறவை
Birth,பிறப்பு
Birthday,பிறந்தநாள்
Birthplace,பிறந்த இடம்
Biscuit,பிஸ்கட்
Bishop,பிஷப்
Bit,சிறிது
Bite,கடி
Bitter,கசப்பான
Black,கருப்பு
Blackberry,நாவல் பழம்
Blackbird,கரிய பறவை
Blackboard,கரும்பலகை
Blackmail,மிரட்டிப் பணம் பறித்தல்
Blade,கத்தி
Blame,பழி
Blank,வெற்று
Blanket,போர்வை
Blast,வெடிப்பு
Blaze,சுடர்
Bleed,இரத்தம் வடிதல்
Bleeding,இரத்தப்போக்கு
Blend,கலவை
Bless,வாழ்த்து
Blessing,ஆசி
Blind,பார்வையற்ற
Blindness,பார்வையின்மை
Blink,கண் சிமிட்டு
Bliss,பேரின்பம்
Blister,கொப்புளம்
Blizzard,பனிப்புயல்
Block,தடு / தொகுதி
Blockade,முடக்கம்
Blog,வலைப்பதிவு
Blogger,வலைப்பதிவர்
Blonde,பொன்னிற முடி
Blood,இரத்தம்
Bloodstream,இரத்த ஓட்டம்
Bloody,இரத்தவெறி பிடித்த
Bloom,மலர்
Blossom,பூ
Blot,கறை
Blouse,ரவிக்கை
Blow,ஊது / அடி
Blue,நீலம்
Blueberry,ப்ளூபெர்ரி
Blunt,மழுங்கிய
Blur,மங்கலான
Blush,நாணு
Board,பலகை / குழு
Boarding,ஏறுதல்
Boast,தற்பெருமை பேசு
Boat,படகுகள்
Body,உடல்
Bodyguard,மெய்க்காப்பாளர்
Boil,கொதிக்கவை
Boiling,கொதிக்கும்
Bold,துணிச்சலான
Boldness,துணிச்சல்
Bolt,தாழ்ப்பாள்
Bomb,குண்டு
Bomber,குண்டுவீசி
Bombing,குண்டுவீச்சு
Bond,பிணைப்பு
Bondage,அடிமைத்தனம்
Bone,எலும்பு
Bonfire,சொக்கப்பானை
Bonnet,காரின் முன்பகுதி மூடி
Bonus,ஊக்கத்தொகை
Book,புத்தகம்
Bookcase,புத்தக அலமாரி
Bookkeeper,கணக்கு வைப்பவர்
Booking,முன்பதிவு
Booklet,சிறுபுத்தகம்
Bookmark,புத்தகக்குறி
Bookseller,புத்தக விற்பனையாளர்
Bookstore,புத்தகக் கடை
Boom,வளர்ச்சி / சத்தம்
Boost,ஊக்குவி
Booster,ஊக்கி
Boot,பூட்ஸ்
Booth,சாவடி
Border,எல்லை
Bore,சலிப்பூட்டு
Boredom,சலிப்பு
Boring,சலிப்பான
Born,பிறந்த
Borrow,கடன் வாங்கு
Borrower,கடன் வாங்குபவர்
Bosom,மார்பு
Boss,முதலாளி
Botanical,தாவரவியல் சார்ந்த
Botany,தாவரவியல்
Both,இரண்டும்
Bother,தொந்தரவு செய்
Bottle,பாட்டில்
Bottom,அடிப்புறம்
Boulder,பாறை
Bounce,குதி
Bound,கட்டப்பட்ட
Boundary,எல்லை
Bountiful,ஏராளமான
Bouquet,பூச்செண்டு
Bout,போட்டி
Bow,வில் / வணங்கு
Bowels,குடல்
Bowl,கிண்ணம்
Bowling,பந்துவீச்சு
Box,பெட்டி
Boxer,குத்துச்சண்டை வீரர்
Boxing,குத்துச்சண்டை
Boy,சிறுவன்
Boycott,புறக்கணிப்பு
Boyfriend,ஆண் நண்பர்
Boyhood,சிறுவயது
Brace,தாங்கு
Bracelet,காப்பு
Bracket,அடைப்புக்குறி
Brag,தற்பெருமை பேசு
Braid,ஜடை
Brain,மூளை
Brake,பிரேக்
Branch,கிளை
Brand,பிராண்ட்
Brandish,வீசு
Brandy,பிராந்தி
Brass,பித்தளை
Brave,தைரியமான
Bravery,தைரியம்
Breach,மீறல்
Bread,ரொட்டி
Breadth,அகலம்
Break,உடை / இடைவேளை
Breakdown,முறிந்துபோதல்
Breakfast,காலை உணவு
Breakthrough,முன்னேற்றம்
Breakup,பிரிவு
Breast,மார்பகம்
Breath,மூச்சு
Breathe,மூச்சுவிடு
Breathing,சுவாசம்
Breeze,தென்றல்
Brevity,சுருக்கம்
Brew,காய்ச்சு
Brewery,மதுபான ஆலை
Bribe,லஞ்சம்
Bribery,லஞ்ச ஒழிப்பு
Brick,செங்கல்
Bride,மணப்பெண்
Bridegroom,மணமகன்
Bridge,பாலம்
Bridle,கடிவாளம்
Brief,சுருக்கமான
Briefcase,கைப்பெட்டி
Briefly,சுருக்கமாக
Brigade,படைப்பிரிவு
Bright,பிரகாசமான
Brighten,பிரகாசமாக்கு
Brightness,பிரகாசம்
Brilliant,அற்புதமான
Brim,விளிம்பு
Bring,கொண்டுவா
Brisk,சுறுசுறுப்பான
Bristle,மயிர் சிலிர்ப்பு
Brittle,எளிதில் உடையும்
Broad,அகலமான
Broadcast,ஒளிபரப்பு
Broadcasting,ஒளிபரப்பு
Broaden,அகலப்படுத்து
Broadly,பரவலாக
Brochure,விளம்பரக் கையேடு
Broil,சுடு
Broken,உடைந்த
Broker,தரகர்
Brokerage,தரகு
Bronze,வெண்கலம்
Brooch,மார்சிப்பாய்
Brood,சிந்தனைசெய்
Brook,சிற்றாறு
Broom,படைப்பின்னல் / துடைப்பம்
Brothel,விபச்சார விடுதி
Brother,சகோதரன்
Brotherhood,சகோதரத்துவம்
Brow,நெற்றி
Brown,பழுப்பு
Browse,உலாவு
Browser,உலாவி
Bruise,காயம்
Brutal,கொடூரமான
Brutality,கொடுமை
Brute,மிருகம்
Bubble,குமிழி
Bucket,வாளி
Buckle,கொக்கி
Bud,மொட்டு
Buddha,புத்தர்
Buddhism,பௌத்தம்
Budget,பட்ஜெட்
Buffet,சுயசேவை விருந்து
Bug,பூச்சி / பிழை
Bugle,எக்காளம்
Build,கட்டு
Builder,கட்டுமானப்பணியாளர்
Building,கட்டிடம்
Build-up,வளர்ச்சி
Bulb,பல்பு / கிழங்கு
Bulk,மொத்த
Bulky,பருமனான
Bull,காளை
Bullet,தோட்டா
Bulletin,செய்திக்குறிப்பு
Bulletproof,தோட்டா துளைக்காத
Bully,மிரட்டுபவர்
Bullying,மிரட்டல்
Bumblebee,தேனீ
Bump,முட்டு / மேடு
Bumper,தடுப்பு
Bunch,கொத்து
Bundle,மூட்டை
Bungalow,பங்களா
Bunny,முயல்
Burden,சுமை
Bureau,பணிமனை / செயலகம்
Bureaucracy,அதிகார வர்க்கம்
Bureaucrat,அதிகாரி
Burglar,திருடன்
Burglary,களவு
Burial,அடக்கம்
Burn,எரி
Burner,எரிப்பான்
Burning,எரியும்
Burrow,வளை
Burst,வெடி
Bury,புதை
Bus,பேருந்து
Bush,புதர்
Business,வணிகம்
Businessman,தொழிலதிபர்
Businesswoman,பெண் தொழிலதிபர்
Bust,மார்பளவு சிலை / தகர்ப்பு
Bustle,பரபரப்பு
Busy,பரபரப்பான
But,ஆனால்
Butcher,கசாப்புக் கடைக்காரர்
Butler,வேலைக்காரர் தலைவர்
Butter,வெண்ணெய்
Butterfly,படாம்பூச்சி
Button,பொத்தான்
Buy,வாங்கு
Buyer,வாங்குபவர்
Buzz,ரீங்காரம்
By,மூலம் / ஆல்
Bypass,மாற்றுப்பாதை
Bystander,பார்வையாளர்
Byte,பைட்
Here is the continuation of the dictionary for the letter **C**:
Cabin, அறை / குடில்
Cabinet, அமைச்சரவை / அலமாரி
Cable, கேபிள் / கம்பி வடமுனை
Cactus, கள்ளச்செடி
Cage, கூண்டு
Cake, கேக் / இனிப்புப் பண்டம்
Calculate, கணக்கிடு
Calculation, கணக்கீடு
Calculator, கணக்கிடும் கருவி
Calendar, நாட்காட்டி
Calf, கன்றுக்குட்டி / கெண்டைக்கால்
Caliber, தகுதி / திறன்
Call, அழை
Calligraphy, கையெழுத்துக் கலை
Calm, அமைதியான
Calmly, அமைதியாக
Calorie, கலோரி
Camel, ஒட்டகம்
Camera, கேமரா / நிழற்படக் கருவி
Camp, முகாம்
Campaign, பிரச்சாரம்
Campfire, முகாமிடும் தீ
Campus, வளாகம்
Can, முடியும் / தகர டப்பா
Canal, கால்வாய்
Cancel, ரத்து செய்
Cancellation, ரத்து
Cancer, புற்றுநோய்
Candidate, வேட்பாளர் / விண்ணப்பதாரர்
Candle, மெழுகுவர்த்தி
Candy, மிட்டாய்
Cane, பிரம்பு / கரும்பு
Canine, நாய் சார்ந்த / கோரைப்பல்
Canopy, மேல்கவிப்பு / விதானம்
Canvas, துணி ஓவியத்தாள் / கேன்வாஸ்
Canyon, பள்ளத்தாக்கு
Cap, தொப்பி
Capability, ஆற்றல் / திறன்
Capable, திறமையுள்ள
Capacity, கொள்ளளவு / திறன்
Cape, முனைகடல் பகுதி / மேலங்கி
Capital, மூலதனம் / தலைநகரம்
Capitalism, முதலாளித்துவம்
Capitalist, முதலாளி
Capsule, மாத்திரை உறை / விண்கலக் கூடு
Captain, கேப்டன் / படைத்தளபதி / மாலுமி
Caption, தலைப்பு / விளக்கவுரை
Captive, சிறைப்பிடிக்கப்பட்டவர்
Captivity, சிறைவாசம்
Capture, கைப்பற்று / பிடி
Car, கார் / மகிழுந்து
Caravan, நாடோடிக் குழு / நடமாடும் வீடு
Carbon, கார்பன் / கரிமம்
Card, அட்டை
Cardboard, அட்டைப் பெட்டிப் பொருள்
Cardiac, இதயம் சார்ந்த
Cardigan, கம்பளிச் சட்டை
Care, கவனிப்பு / அக்கறை
Career, தொழில் / வாழ்க்கைப்பாதை
Careful, கவனமாக
Carefully, கவனத்துடன்
Careless, கவனமற்ற
Caress, அரவணை / தழுவு
Cargo, சரக்கு
Carnival, திருவிழா / கொண்டாட்டம்
Carpet, விரிப்பு / கார்பெட்
Carriage, வண்டி / சரக்குக் கட்டணம்
Carrier, சுமப்பவர் / கடத்தி
Carrot, கேரட்
Carry, சுமந்து செல்
Cart, வண்டி / தள்ளுவண்டி
Carton, அட்டைப்பெட்டி
Cartoon, கேலிச்சித்திரம் / கார்ட்டூன்
Carve, செதுக்கு
Carving, செதுக்கல்
Cascade, அருவி / வரிசை நிகழ்வு
Case, வழக்கு / நிலை / பெட்டி
Cash, ரொக்கம்
Cashier, காசாளர்
Casino, சூதாட்டக் கூடம்
Casket, பேழை / சவப்பெட்டி
Castle, கோட்டை
Casual, சாதாரண / தற்காலிக
Casualty, விபத்து பலி / சேதம்
Cat, பூனை
Catalog, பட்டியல்
Catastrophe, பெரும் பேரழிவு
Catch, பிடி
Categorize, வகைப்படுத்து
Category, வகை
Cater, உணவு வழங்கு / பூர்த்தி செய்
Catering, உணவு உபசரிப்பு
Caterpillar, கம்பளிப்பூச்சி
Cathedral, பெரிய தேவாலயம்
Cattle, கால்நடைகள்
Caucus, ஆலோசனைக் குழு
Cauliflower, காலிஃபிளவர்
Cause, காரணம்
Caution, எச்சரிக்கை
Cautious, கவனமாக இருக்கும்
Cavalry, குதிரைப்படை
Cave, குகை
Cavern, பெரிய குகை
Cease, நிறுத்து / முடிவுக்கு வா
Ceasefire, போர்நிறுத்தம்
Ceiling, மேற்கூரை
Celebrate, கொண்டாடு
Celebration, கொண்டாட்டம்
Celebration, விழா
Celebrity, பிரபலம்
Celery, செலரி கீரை
Celestial, விண்வெளி சார்ந்த
Cell, செல் / சிறை அறை
Cellar, நிலத்தடி அறை
Cellular, செல் சார்ந்த
Cello, பெரிய வயலின்
Cement, சிமெண்ட்
Cemetery, மயானம்
Censor, தணிக்கை செய்
Censorship, தணிக்கை
Census, மக்கள் தொகை கணக்கெடுப்பு
Cent, சென்ட் / நாணயம்
Center, மையம்
Central, மத்திய
Centralize, மையப்படுத்து
Centuries, நூற்றாண்டுகள்
Century, நூற்றாண்டு
Cereal, தானியம்
Ceremonial, சடங்கு சார்ந்த
Ceremony, சடங்கு / விழா
Certain, निश्चितமான / சில
Certainly, நிச்சயமாக
Certainty, நிச்சயம்
Certificate, சான்றிதழ்
Certification, சான்றளிப்பு
Certify, சான்றளி
Chain, சங்கிலி
Chair, நாற்காலி
Chairman, தலைவர்
Chairperson, தலைவர்
Chalk, சாக்பீஸ் / சுண்ணக்கட்டி
Challenge, சவால்
Challenger, சவாலாளி
Chamber, அறை / மன்றம்
Champagne, ஷாம்பெயின் மது
Champion, வெற்றியாளர் / சாம்பியன்
Championship, சாம்பியன்ஷிப் / தொடர்
Chance, வாய்ப்பு
Chancellor, அதிபர்
Change, மாற்றம் / மாற்று
Channel, சேனல் / தடம் / துறைமுகம்
Chaos, குழப்பம்
Chaotic, குழப்பமான
Chapel, சிறிய தேவாலயம்
Chaperone, பாதுகாவலர்
Chaplain, மதகுரு
Chapter, அத்தியாயம்
Character, கதாபாத்திரம் / குணம்
